,sensor [K-33 ELG],,,
01/14/23 18:20:59.817,"745","19.76","56.39",
01/14/23 18:21:59.818,"746","19.75","56.36",
01/14/23 18:22:59.814,"749","19.75","56.33",
01/14/23 18:23:59.809,"746","19.73","56.39",
01/14/23 18:24:59.822,"748","19.72","56.51",
01/14/23 18:25:59.814,"746","19.72","56.48",
01/14/23 18:26:59.808,"749","19.74","56.51",
01/14/23 18:27:59.814,"748","19.74","56.45",
01/14/23 18:28:59.822,"748","19.73","56.45",
01/14/23 18:29:59.815,"748","19.71","56.55",
01/14/23 18:30:59.819,"754","19.72","56.51",
01/14/23 18:31:59.822,"751","19.72","56.51",
01/14/23 18:32:59.811,"747","19.73","56.48",
01/14/23 18:33:59.814,"748","19.71","56.48",
01/14/23 18:34:59.818,"748","19.7","56.48",
01/14/23 18:35:59.821,"750","19.7","56.48",
01/14/23 18:36:59.809,"748","19.7","56.51",
01/14/23 18:37:59.821,"748","19.71","56.45",
01/14/23 18:38:59.815,"750","19.68","56.48",
01/14/23 18:39:59.811,"749","19.7","56.48",
01/14/23 18:40:59.818,"751","19.7","56.48",
01/14/23 18:41:59.824,"745","19.69","56.45",
01/14/23 18:42:59.817,"750","19.68","56.51",
01/14/23 18:43:59.816,"749","19.68","56.51",
01/14/23 18:44:59.821,"747","19.68","56.51",
01/14/23 18:45:59.810,"748","19.69","56.51",
01/14/23 18:46:59.812,"754","19.69","56.55",
01/14/23 18:47:59.822,"752","19.69","56.58",
01/14/23 18:48:59.821,"756","19.68","56.58",
01/14/23 18:49:59.812,"757","19.69","56.55",
01/14/23 18:50:59.817,"757","19.68","56.55",
01/14/23 18:51:59.820,"757","19.68","56.51",
01/14/23 18:52:59.819,"753","19.68","56.51",
01/14/23 18:53:59.820,"758","19.67","56.51",
01/14/23 18:54:59.810,"757","19.67","56.55",
01/14/23 18:55:59.823,"759","19.66","56.55",
01/14/23 18:56:59.811,"760","19.67","56.55",
01/14/23 18:57:59.823,"754","19.66","56.51",
01/14/23 18:58:59.815,"755","19.66","56.51",
01/14/23 18:59:59.822,"759","19.66","56.51",
01/14/23 19:00:59.825,"753","19.64","56.51",
01/14/23 19:01:59.813,"759","19.64","56.51",
01/14/23 19:02:59.819,"758","19.65","56.51",
01/14/23 19:03:59.823,"760","19.65","56.51",
01/14/23 19:04:59.813,"757","19.63","56.51",
01/14/23 19:05:59.819,"756","19.64","56.51",
01/14/23 19:06:59.825,"756","19.62","56.48",
01/14/23 19:07:59.818,"759","19.64","56.48",
01/14/23 19:08:59.813,"756","19.63","56.48",
01/14/23 19:09:59.825,"760","19.62","56.48",
01/14/23 19:10:59.818,"763","19.62","56.61",
01/14/23 19:11:59.815,"758","19.61","56.55",
01/14/23 19:12:59.824,"762","19.61","56.58",
01/14/23 19:13:59.813,"757","19.62","56.58",
01/14/23 19:14:59.818,"764","19.62","56.58",
01/14/23 19:15:59.822,"761","19.63","56.58",
01/14/23 19:16:59.825,"760","19.62","56.58",
01/14/23 19:17:59.815,"765","19.62","56.58",
01/14/23 19:18:59.820,"765","19.62","56.58",
01/14/23 19:19:59.824,"761","19.62","56.61",
01/14/23 19:20:59.814,"767","19.62","56.64",
01/14/23 19:21:59.817,"769","19.62","56.64",
01/14/23 19:22:59.823,"772","19.63","56.64",
01/14/23 19:23:59.816,"769","19.61","56.61",
01/14/23 19:24:59.822,"773","19.62","56.58",
01/14/23 19:25:59.813,"770","19.62","56.58",
01/14/23 19:26:59.827,"773","19.62","56.58",
01/14/23 19:27:59.824,"771","19.6","56.61",
01/14/23 19:28:59.813,"774","19.6","56.67",
01/14/23 19:29:59.825,"769","19.62","56.67",
01/14/23 19:30:59.815,"846","19.64","57.77",
01/14/23 19:31:59.819,"861","19.74","57.74",
01/14/23 19:32:59.823,"886","19.86","57.61",
01/14/23 19:33:59.826,"840","19.89","57.08",
01/14/23 19:34:59.814,"796","19.92","56.2",
01/14/23 19:35:59.819,"807","19.92","56.36",
01/14/23 19:36:59.823,"806","19.92","56.26",
01/14/23 19:37:59.819,"800","19.95","56.17",
01/14/23 19:38:59.813,"804","19.94","56.08",
01/14/23 19:39:59.820,"805","19.94","56.08",
01/14/23 19:40:59.824,"801","19.91","56.08",
01/14/23 19:41:59.825,"801","19.93","56.08",
01/14/23 19:42:59.819,"808","19.91","56.11",
01/14/23 19:43:55.974,"798","19.89","56.08",
01/14/23 19:44:55.967,"793","19.9","56.04",
01/14/23 19:45:55.970,"799","19.89","56.08",
01/14/23 19:46:55.971,"802","19.88","56.17",
01/14/23 19:47:55.975,"805","19.9","56.39",
01/14/23 19:48:55.972,"826","19.9","56.51",
01/14/23 19:49:55.978,"844","19.9","56.8",
01/14/23 19:50:55.980,"862","19.88","57.17",
01/14/23 19:51:55.967,"870","19.89","57.24",
01/14/23 19:52:55.972,"867","19.88","57.2",
01/14/23 19:53:55.975,"881","19.88","57.52",
01/14/23 19:54:55.978,"884","19.88","57.55",
01/14/23 19:55:55.980,"889","19.87","57.58",
01/14/23 19:56:55.970,"893","19.86","57.71",
01/14/23 19:57:55.975,"893","19.86","57.8",
01/14/23 19:58:55.979,"890","19.84","57.74",
01/14/23 19:59:55.968,"894","19.84","57.74",
01/14/23 20:00:55.970,"892","19.84","57.64",
01/14/23 20:01:55.978,"893","19.82","57.61",
01/14/23 20:02:55.969,"884","19.84","57.58",
01/14/23 20:03:55.975,"884","19.82","57.58",
01/14/23 20:04:55.978,"885","19.82","57.55",
01/14/23 20:05:55.982,"882","19.82","57.52",
01/14/23 20:06:55.980,"882","19.8","57.52",
01/14/23 20:07:55.972,"880","19.79","57.52",
01/14/23 20:08:55.969,"878","19.8","57.49",
01/14/23 20:09:55.973,"877","19.8","57.46",
01/14/23 20:10:55.969,"875","19.79","57.42",
01/14/23 20:11:55.979,"872","19.81","57.46",
01/14/23 20:12:55.974,"871","19.78","57.42",
01/14/23 20:13:55.978,"874","19.77","57.39",
01/14/23 20:14:55.983,"877","19.76","57.49",
01/14/23 20:15:55.971,"877","19.78","57.55",
01/14/23 20:16:55.974,"876","19.78","57.52",
01/14/23 20:17:55.982,"877","19.78","57.58",
01/14/23 20:18:55.981,"885","19.78","57.55",
01/14/23 20:19:55.969,"877","19.77","57.58",
01/14/23 20:20:55.975,"885","19.78","57.68",
01/14/23 20:21:55.976,"893","19.76","57.71",
01/14/23 20:22:55.971,"900","19.77","57.8",
01/14/23 20:23:55.977,"900","19.78","57.86",
01/14/23 20:24:55.975,"902","19.75","57.96",
01/14/23 20:25:55.982,"912","19.77","58.05",
01/14/23 20:26:55.971,"912","19.75","58.11",
01/14/23 20:27:55.979,"913","19.75","58.08",
01/14/23 20:28:55.984,"911","19.75","57.99",
01/14/23 20:29:55.984,"910","19.74","57.96",
01/14/23 20:30:55.974,"909","19.72","58.02",
01/14/23 20:31:55.970,"910","19.72","57.99",
01/14/23 20:32:55.977,"906","19.73","57.93",
01/14/23 20:33:55.984,"910","19.72","57.93",
01/14/23 20:34:55.971,"914","19.72","57.96",
01/14/23 20:35:55.975,"915","19.72","58.02",
01/14/23 20:36:55.980,"909","19.72","57.93",
01/14/23 20:37:55.982,"914","19.72","57.96",
01/14/23 20:38:55.981,"908","19.71","57.93",
01/14/23 20:39:55.974,"910","19.7","57.96",
01/14/23 20:40:55.976,"914","19.68","58.02",
01/14/23 20:41:55.975,"913","19.68","58.02",
01/14/23 20:42:55.984,"916","19.67","58.05",
01/14/23 20:43:55.975,"915","19.69","58.05",
01/14/23 20:44:55.979,"921","19.68","58.11",
01/14/23 20:45:55.984,"916","19.68","58.11",
01/14/23 20:46:55.977,"918","19.67","58.15",
01/14/23 20:47:55.984,"918","19.66","58.18",
01/14/23 20:48:55.978,"925","19.67","58.24",
01/14/23 20:49:55.982,"922","19.68","58.21",
01/14/23 20:50:55.984,"924","19.66","58.27",
01/14/23 20:51:55.974,"930","19.66","58.27",
01/14/23 20:52:55.979,"925","19.66","58.33",
01/14/23 20:53:55.978,"926","19.65","58.33",
01/14/23 20:54:55.982,"934","19.66","58.46",
01/14/23 20:55:55.986,"942","19.66","58.49",
01/14/23 20:56:55.976,"933","19.64","58.49",
01/14/23 20:57:55.985,"931","19.65","58.43",
01/14/23 20:58:55.979,"931","19.64","58.43",
01/14/23 20:59:55.985,"929","19.64","58.3",
01/14/23 21:00:55.972,"929","19.66","58.24",
01/14/23 21:01:55.976,"928","19.64","58.21",
01/14/23 21:02:55.980,"927","19.64","58.21",
01/14/23 21:03:55.985,"921","19.62","58.21",
01/14/23 21:04:55.973,"925","19.62","58.18",
01/14/23 21:05:55.976,"920","19.61","58.15",
01/14/23 21:06:55.981,"924","19.6","58.11",
01/14/23 21:07:55.973,"919","19.61","58.11",
01/14/23 21:08:55.984,"921","19.61","58.11",
01/14/23 21:09:55.977,"933","19.62","58.43",
01/14/23 21:10:55.985,"926","19.63","58.08",
01/14/23 21:11:55.974,"919","19.65","58.05",
01/14/23 21:12:55.987,"906","19.72","57.83",
01/14/23 21:13:55.980,"942","19.8","57.89",
01/14/23 21:14:55.986,"960","19.88","58.21",
01/14/23 21:15:55.973,"953","19.9","57.83",
01/14/23 21:16:55.980,"929","19.92","57.49",
01/14/23 21:17:55.986,"927","19.94","57.42",
01/14/23 21:18:55.979,"930","19.93","57.49",
01/14/23 21:19:55.985,"943","19.93","57.61",
01/14/23 21:20:55.975,"947","19.91","57.71",
01/14/23 21:21:55.978,"949","19.9","57.74",
01/14/23 21:22:55.986,"953","19.88","57.74",
01/14/23 21:23:55.978,"948","19.88","57.77",
01/14/23 21:24:55.981,"948","19.88","57.71",
01/14/23 21:25:55.978,"948","19.86","57.77",
01/14/23 21:26:55.983,"944","19.86","57.77",
01/14/23 21:27:55.980,"951","19.85","57.8",
01/14/23 21:28:55.985,"949","19.83","57.86",
01/14/23 21:29:55.985,"949","19.82","57.86",
01/14/23 21:30:55.977,"947","19.8","57.83",
01/14/23 21:31:55.980,"944","19.79","57.8",
01/14/23 21:32:55.989,"948","19.8","57.83",
01/14/23 21:33:55.977,"944","19.79","57.83",
01/14/23 21:34:55.979,"940","19.78","57.8",
01/14/23 21:35:55.981,"936","19.78","57.77",
01/14/23 21:36:55.987,"939","19.76","57.83",
01/14/23 21:37:55.980,"935","19.74","57.8",
01/14/23 21:38:55.983,"932","19.74","57.83",
01/14/23 21:39:55.989,"933","19.75","57.77",
01/14/23 21:40:55.978,"933","19.75","57.77",
01/14/23 21:41:55.982,"932","19.74","57.77",
01/14/23 21:42:55.976,"936","19.74","57.77",
01/14/23 21:43:55.981,"929","19.73","57.77",
01/14/23 21:44:55.989,"931","19.72","57.77",
01/14/23 21:45:55.979,"935","19.73","57.8",
01/14/23 21:46:55.983,"929","19.73","57.8",
01/14/23 21:47:55.974,"933","19.72","57.83",
01/14/23 21:48:55.979,"928","19.71","57.83",
01/14/23 21:49:55.981,"931","19.7","57.89",
01/14/23 21:50:55.984,"931","19.69","57.96",
01/14/23 21:51:55.986,"936","19.68","57.99",
01/14/23 21:52:55.981,"935","19.69","57.93",
01/14/23 21:53:55.984,"933","19.68","57.96",
01/14/23 21:54:55.988,"938","19.67","57.99",
01/14/23 21:55:55.976,"940","19.68","58.02",
01/14/23 21:56:55.981,"932","19.68","58.08",
01/14/23 21:57:55.988,"937","19.67","58.08",
01/14/23 21:58:55.982,"936","19.67","57.96",
01/14/23 21:59:55.986,"939","19.67","58.02",
01/14/23 22:00:55.991,"935","19.66","57.96",
01/14/23 22:01:55.980,"938","19.64","57.96",
01/14/23 22:02:55.985,"933","19.65","57.96",
01/14/23 22:03:55.976,"930","19.64","57.93",
01/14/23 22:04:55.979,"936","19.64","57.89",
01/14/23 22:05:55.984,"934","19.64","57.86",
01/14/23 22:06:55.989,"926","19.64","57.86",
01/14/23 22:07:55.980,"936","19.64","57.86",
01/14/23 22:08:55.988,"931","19.63","57.86",
01/14/23 22:09:55.979,"929","19.62","57.83",
01/14/23 22:10:55.984,"928","19.63","57.83",
01/14/23 22:11:55.988,"928","19.62","57.86",
01/14/23 22:12:55.980,"931","19.62","57.83",
01/14/23 22:13:55.986,"935","19.6","57.93",
01/14/23 22:14:55.991,"938","19.6","57.93",
01/14/23 22:15:55.978,"932","19.6","57.99",
01/14/23 22:16:55.981,"939","19.59","58.08",
01/14/23 22:17:55.986,"939","19.6","58.02",
01/14/23 22:18:55.990,"942","19.59","58.02",
01/14/23 22:19:55.978,"937","19.6","58.02",
01/14/23 22:20:55.980,"935","19.59","57.99",
01/14/23 22:21:55.985,"937","19.58","57.96",
01/14/23 22:22:55.981,"938","19.58","57.99",
01/14/23 22:23:55.988,"934","19.58","57.99",
01/14/23 22:24:55.987,"939","19.57","57.93",
01/14/23 22:25:55.981,"936","19.56","57.89",
01/14/23 22:26:55.988,"928","19.56","57.89",
01/14/23 22:27:55.988,"936","19.56","57.86",
01/14/23 22:28:55.978,"931","19.58","57.86",
01/14/23 22:29:55.980,"939","19.55","57.86",
01/14/23 22:30:55.984,"936","19.54","57.83",
01/14/23 22:31:55.989,"933","19.54","57.77",
01/14/23 22:32:55.988,"933","19.54","57.74",
01/14/23 22:33:55.993,"931","19.53","57.74",
01/14/23 22:34:55.982,"931","19.52","57.71",
01/14/23 22:35:55.990,"931","19.52","57.68",
01/14/23 22:36:55.981,"932","19.52","57.64",
01/14/23 22:37:55.985,"937","19.52","57.68",
01/14/23 22:38:55.989,"942","19.52","57.64",
01/14/23 22:39:55.980,"949","19.54","57.52",
01/14/23 22:40:55.986,"1002","19.61","58.27",
01/14/23 22:41:55.986,"1026","19.76","57.99",
01/14/23 22:42:55.991,"1028","19.81","57.77",
01/14/23 22:43:55.985,"979","19.85","57.17",
01/14/23 22:44:55.998,"978","19.86","56.86",
01/14/23 22:45:55.996,"991","19.87","56.89",
01/14/23 22:46:55.996,"986","19.88","56.8",
01/14/23 22:47:55.987,"976","19.86","56.73",
01/14/23 22:48:55.998,"968","19.88","56.67",
01/14/23 22:49:55.989,"974","19.87","56.67",
01/14/23 22:50:55.991,"970","19.86","56.64",
01/14/23 22:51:55.999,"968","19.84","56.8",
01/14/23 22:52:56.001,"970","19.83","56.86",
01/14/23 22:53:55.987,"972","19.82","56.86",
01/14/23 22:54:55.995,"977","19.8","56.89",
01/14/23 22:55:55.999,"982","19.8","56.95",
01/14/23 22:56:55.988,"981","19.78","57.02",
01/14/23 22:57:55.991,"980","19.77","56.99",
01/14/23 22:58:55.999,"989","19.76","57.05",
01/14/23 22:59:55.994,"993","19.75","57.08",
01/14/23 23:00:55.997,"989","19.75","57.08",
01/14/23 23:01:55.995,"988","19.74","57.11",
01/14/23 23:02:56.001,"984","19.72","57.08",
01/14/23 23:03:55.993,"988","19.72","57.08",
01/14/23 23:04:55.999,"983","19.7","57.05",
01/14/23 23:05:55.991,"985","19.68","57.05",
01/14/23 23:06:56.002,"978","19.69","57.02",
01/14/23 23:07:55.997,"981","19.68","56.99",
01/14/23 23:08:55.988,"974","19.67","57.02",
01/14/23 23:09:56.000,"971","19.65","57.05",
01/14/23 23:10:55.990,"980","19.65","56.99",
01/14/23 23:11:56.002,"977","19.66","56.95",
01/14/23 23:12:55.987,"980","19.64","57.02",
01/14/23 23:13:56.002,"975","19.64","57.02",
01/14/23 23:14:55.996,"977","19.62","57.02",
01/14/23 23:15:55.999,"980","19.62","57.02",
01/14/23 23:16:56.001,"980","19.61","57.02",
01/14/23 23:17:55.997,"981","19.61","57.02",
01/14/23 23:18:56.002,"986","19.61","57.02",
01/14/23 23:19:55.991,"979","19.6","57.02",
01/14/23 23:20:55.995,"983","19.59","57.02",
01/14/23 23:21:55.998,"985","19.59","57.02",
01/14/23 23:22:56.003,"987","19.58","57.02",
01/14/23 23:23:55.999,"987","19.58","56.99",
01/14/23 23:24:55.998,"994","19.57","57.08",
01/14/23 23:25:55.996,"995","19.58","57.08",
01/14/23 23:26:55.994,"997","19.58","57.05",
01/14/23 23:27:55.988,"1002","19.58","57.08",
01/14/23 23:28:55.994,"1002","19.56","57.11",
01/14/23 23:29:56.000,"1000","19.58","57.08",
01/14/23 23:30:56.004,"1004","19.56","57.11",
01/14/23 23:31:55.999,"1002","19.56","57.08",
01/14/23 23:32:55.996,"998","19.55","57.05",
01/14/23 23:33:56.000,"999","19.56","57.05",
01/14/23 23:34:55.992,"999","19.54","57.05",
01/14/23 23:35:55.989,"1003","19.54","57.02",
01/14/23 23:36:55.994,"1004","19.54","57.05",
01/14/23 23:37:55.999,"1003","19.53","57.05",
01/14/23 23:38:55.995,"1002","19.52","57.08",
01/14/23 23:39:56.002,"1002","19.52","57.08",
01/14/23 23:40:55.995,"1000","19.51","57.02",
01/14/23 23:41:56.003,"1002","19.52","57.08",
01/14/23 23:42:55.993,"1004","19.5","57.05",
01/14/23 23:43:56.005,"1006","19.5","57.08",
01/14/23 23:44:55.997,"1002","19.49","57.08",
01/14/23 23:45:56.001,"1005","19.48","57.08",
01/14/23 23:46:56.005,"1004","19.49","57.08",
01/14/23 23:47:55.997,"1004","19.48","57.08",
01/14/23 23:48:56.001,"1003","19.5","57.05",
01/14/23 23:49:56.005,"1006","19.47","57.08",
01/14/23 23:50:55.992,"1008","19.48","57.08",
01/14/23 23:51:55.994,"1005","19.48","57.05",
01/14/23 23:52:56.003,"1009","19.47","57.02",
01/14/23 23:53:55.991,"1010","19.48","56.89",
01/14/23 23:54:55.996,"1014","19.48","56.92",
01/14/23 23:55:56.005,"1018","19.48","57.02",
01/14/23 23:56:55.995,"1024","19.47","57.05",
01/14/23 23:57:55.992,"1022","19.47","57.05",
01/14/23 23:58:56.002,"1024","19.47","57.05",
01/14/23 23:59:55.991,"1027","19.45","57.11",
01/15/23 0:00:56.000,"1034","19.45","57.14",
01/15/23 0:01:55.991,"1039","19.46","57.14",
01/15/23 0:02:55.991,"1035","19.46","57.14",
01/15/23 0:03:55.999,"1042","19.45","57.11",
01/15/23 0:04:56.001,"1048","19.44","57.14",
01/15/23 0:05:55.992,"1044","19.43","57.14",
01/15/23 0:06:55.995,"1045","19.42","57.14",
01/15/23 0:07:56.006,"1044","19.43","57.11",
01/15/23 0:08:56.001,"1045","19.43","57.11",
01/15/23 0:09:55.992,"1043","19.41","57.11",
01/15/23 0:10:55.997,"1043","19.41","57.08",
01/15/23 0:11:56.002,"1043","19.42","57.05",
01/15/23 0:12:55.998,"1046","19.42","57.08",
01/15/23 0:13:55.991,"1041","19.41","57.11",
01/15/23 0:14:56.000,"1046","19.41","57.11",
01/15/23 0:15:56.004,"1054","19.4","57.2",
01/15/23 0:16:56.006,"1063","19.4","57.11",
01/15/23 0:17:55.997,"1104","19.44","57.71",
01/15/23 0:18:56.001,"1133","19.54","57.71",
01/15/23 0:19:56.003,"1173","19.64","58.15",
01/15/23 0:20:56.005,"1136","19.72","57.3",
01/15/23 0:21:55.993,"1131","19.74","57.11",
01/15/23 0:22:55.997,"1119","19.77","56.89",
01/15/23 0:23:56.007,"1123","19.76","56.83",
01/15/23 0:24:55.996,"1125","19.76","56.77",
01/15/23 0:25:56.004,"1128","19.77","56.77",
01/15/23 0:26:55.997,"1127","19.76","56.8",
01/15/23 0:27:56.006,"1116","19.75","56.77",
01/15/23 0:28:55.995,"1117","19.74","56.73",
01/15/23 0:29:55.993,"1108","19.73","56.77",
01/15/23 0:30:56.001,"1109","19.72","56.77",
01/15/23 0:31:55.995,"1108","19.72","56.77",
01/15/23 0:32:55.997,"1104","19.69","56.83",
01/15/23 0:33:56.004,"1102","19.68","56.86",
01/15/23 0:34:56.008,"1102","19.67","56.86",
01/15/23 0:35:55.995,"1100","19.65","56.83",
01/15/23 0:36:56.000,"1099","19.65","56.83",
01/15/23 0:37:56.006,"1096","19.66","56.8",
01/15/23 0:38:55.997,"1091","19.64","56.77",
01/15/23 0:39:55.999,"1087","19.62","56.77",
01/15/23 0:40:56.007,"1084","19.62","56.8",
01/15/23 0:41:56.004,"1079","19.6","56.8",
01/15/23 0:42:56.004,"1077","19.59","56.83",
01/15/23 0:43:55.994,"1077","19.57","56.83",
01/15/23 0:44:56.005,"1075","19.58","56.8",
01/15/23 0:45:55.996,"1074","19.58","56.8",
01/15/23 0:46:55.998,"1070","19.58","56.73",
01/15/23 0:47:56.002,"1073","19.56","56.77",
01/15/23 0:48:56.010,"1072","19.56","56.8",
01/15/23 0:49:55.999,"1067","19.54","56.77",
01/15/23 0:50:55.999,"1066","19.54","56.77",
01/15/23 0:51:56.006,"1063","19.54","56.77",
01/15/23 0:52:56.000,"1063","19.54","56.77",
01/15/23 0:53:56.005,"1068","19.53","56.8",
01/15/23 0:54:56.009,"1067","19.54","56.77",
01/15/23 0:55:55.997,"1067","19.52","56.8",
01/15/23 0:56:56.004,"1067","19.54","56.8",
01/15/23 0:57:55.995,"1069","19.52","56.83",
01/15/23 0:58:56.004,"1078","19.5","56.89",
01/15/23 0:59:56.008,"1073","19.51","56.89",
01/15/23 1:00:56.008,"1071","19.5","56.89",
01/15/23 1:01:56.002,"1069","19.5","56.89",
01/15/23 1:02:56.008,"1073","19.51","56.89",
01/15/23 1:03:55.997,"1069","19.5","56.89",
01/15/23 1:04:56.000,"1070","19.51","56.89",
01/15/23 1:05:56.005,"1069","19.5","56.86",
01/15/23 1:06:56.010,"1069","19.49","56.89",
01/15/23 1:07:56.004,"1069","19.5","56.83",
01/15/23 1:08:55.998,"1065","19.48","56.83",
01/15/23 1:09:56.007,"1057","19.48","56.8",
01/15/23 1:10:56.009,"1059","19.5","56.77",
01/15/23 1:11:55.998,"1057","19.46","56.8",
01/15/23 1:12:56.008,"1057","19.46","56.8",
01/15/23 1:13:56.004,"1053","19.44","56.77",
01/15/23 1:14:56.008,"1052","19.44","56.8",
01/15/23 1:15:55.998,"1049","19.44","56.83",
01/15/23 1:16:56.002,"1051","19.44","56.83",
01/15/23 1:17:56.009,"1047","19.44","56.8",
01/15/23 1:18:56.000,"1047","19.43","56.8",
01/15/23 1:19:56.003,"1048","19.41","56.8",
