'2020-02-26 19:32:24','PODDv1.2_004','Light',411.68,'2020-02-26 11:32:22'
'2020-02-26 19:32:25','PODDv1.2_004','Sound',8.28,'2020-02-26 11:32:24'
'2020-02-26 19:32:26','PODDv1.2_004','Humidity',31.72,'2020-02-26 11:32:25'
'2020-02-26 19:32:27','PODDv1.2_004','AirTemp',73.11,'2020-02-26 11:32:25'
'2020-02-26 19:33:02','PODDv1.2_005','Light',405.28,'2020-02-26 11:33:01'
'2020-02-26 19:33:03','PODDv1.2_005','Sound',9.17,'2020-02-26 11:33:02'
'2020-02-26 19:33:04','PODDv1.2_005','Humidity',31.67,'2020-02-26 11:33:03'
'2020-02-26 19:33:05','PODDv1.2_005','AirTemp',73.31,'2020-02-26 11:33:03'
'2020-02-26 19:33:07','PODDv1.2_005','GlobeTemp',72.69,'2020-02-26 11:33:06'
'2020-02-26 19:33:08','PODDv1.2_005','CO2',535,'2020-02-26 11:33:07'
'2020-02-26 19:33:09','PODDv1.2_005','CO',0,'2020-02-26 11:33:08'
'2020-02-26 19:33:42','PODDv1.2_006','Light',436.16,'2020-02-26 11:33:40'
'2020-02-26 19:33:43','PODDv1.2_006','Sound',4.97,'2020-02-26 11:33:42'
'2020-02-26 19:33:44','PODDv1.2_006','Humidity',32.71,'2020-02-26 11:33:43'
'2020-02-26 19:33:45','PODDv1.2_006','AirTemp',73.42,'2020-02-26 11:33:43'
'2020-02-26 19:33:46','PODDv1.2_006','GlobeTemp',72.94,'2020-02-26 11:33:45'
'2020-02-26 19:33:48','PODDv1.2_006','CO2',522,'2020-02-26 11:33:46'
'2020-02-26 19:33:48','PODDv1.2_003','Humidity',33.36,'2020-02-26 11:33:48'
'2020-02-26 19:33:48','PODDv1.2_003','AirTemp',73.46,'2020-02-26 11:33:48'
'2020-02-26 19:33:49','PODDv1.2_003','GlobeTemp',73.94,'2020-02-26 11:33:48'
'2020-02-26 19:33:50','PODDv1.2_003','CO',0,'2020-02-26 11:33:50'
'2020-02-26 19:33:50','PODDv1.2_003','PM_2.5',0.8,'2020-02-26 11:33:50'
'2020-02-26 19:33:50','PODDv1.2_003','PM_10',0.8,'2020-02-26 11:33:50'
'2020-02-26 19:33:51','PODDv1.2_006','CO',0,'2020-02-26 11:33:48'
'2020-02-26 19:33:51','PODDv1.2_003','Light',444,'2020-02-26 11:33:51'
'2020-02-26 19:33:51','PODDv1.2_003','Sound',6.36,'2020-02-26 11:33:51'
'2020-02-26 19:34:12','PODDv1.2_007','Light',484.48,'2020-02-26 11:34:11'
'2020-02-26 19:34:13','PODDv1.2_007','Sound',3.83,'2020-02-26 11:34:12'
'2020-02-26 19:34:15','PODDv1.2_007','Humidity',34.65,'2020-02-26 11:34:13'
'2020-02-26 19:34:16','PODDv1.2_007','AirTemp',73.2,'2020-02-26 11:34:13'
'2020-02-26 19:34:17','PODDv1.2_007','GlobeTemp',72.69,'2020-02-26 11:34:15'
'2020-02-26 19:34:18','PODDv1.2_007','CO2',526,'2020-02-26 11:34:17'
'2020-02-26 19:34:19','PODDv1.2_007','CO',0,'2020-02-26 11:34:18'
'2020-02-26 19:34:20','PODDv1.2_004','GlobeTemp',72.69,'2020-02-26 11:34:19'
'2020-02-26 19:34:22','PODDv1.2_004','CO2',522,'2020-02-26 11:34:20'
'2020-02-26 19:34:23','PODDv1.2_004','CO',0,'2020-02-26 11:34:21'
'2020-02-26 19:34:24','PODDv1.2_004','Light',418.56,'2020-02-26 11:34:22'
